0,7
1,7
2,7
3,1
4,7
5,1
6,7
7,8
8,3
9,10
10,4
11,1
12,4
13,10
14,6
15,2
16,2
17,2
18,7
19,11
20,1
21,7
22,2
23,6
24,2
25,2
26,5
27,2
28,8
29,2
30,1
31,2
32,1
33,1
34,8
35,6
36,2
37,3
38,1
39,7
40,1
41,2
42,1
43,7
44,8
45,11
46,1
47,2
48,11
49,2
50,1
51,7
52,1
53,4
54,1
55,1
56,2
57,8
58,6
59,11
60,1
61,4
62,6
63,1
64,1
65,1
66,4
67,2
68,5
69,1
70,4
71,2
72,6
73,1
74,2
75,3
76,7
77,2
78,2
79,8
80,6
81,3
82,2
83,2
84,7
85,7
86,2
87,7
88,7
89,2
90,2
91,4
92,4
93,2
94,1
95,4
96,7
97,11
98,1
99,1
100,7
101,6
102,6
103,4
104,4
105,1
106,2
107,6
108,0
109,7
110,6
111,6
112,11
113,11
114,11
115,6
116,1
117,1
118,1
119,2
120,1
121,11
122,2
123,2
124,2
125,7
126,7
127,2
128,2
129,2
130,0
131,2
132,2
133,7
134,7
135,2
136,2
137,9
138,8
139,2
140,2
141,0
142,2
143,1
144,6
145,6
146,1
147,0
148,1
149,11
150,11
151,2
152,2
153,9
154,2
155,7
156,3
157,1
158,6
159,1
160,2
161,7
162,3
163,1
164,0
165,2
166,1
167,1
168,1
169,1
170,2
171,6
172,7
173,1
174,9
175,1
176,1
177,3
178,7
179,8
180,3
181,8
182,3
183,9
184,2
185,7
186,1
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
